SeqID,DisputeID,Location,EffectiveRows,tab,tabnum,Seder_Hebrew,Seder_Name,Seder_Number,Seder_Translate,Tractate_Name_Hebrew,Chapter,HebrewChapterLocation,Ith_chapter_in_seder,Disputant_1,Disputant_Hebrew_D1,Disputant_Hebrew_D1b,Disputant_Hebrew_D1c,Disputant_2,Disputant_Hebrew_D2,Disputant_Hebrew_D2b,Disputant_Hebrew_D2c,StrictQuestion,MoneyQuestion,OweQuestion,Winner,Result_1,Score_1,AltOwe_1,AltMoney_1,AltStrict_1,Result_2,Score_2,AltOwe_2,AltMoney_2,AltStrict_2,Owe_Result_Score_1,Money_Result_Score_1,Strict_Result_1,Strict_Result_Score_1,Owe_Result_Score_2,Money_Result_Score_2,Strict_Result_2,Strict_Result_Score_2
 282, 347,9:8, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים, 9,, 3,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 283, 348,10:2, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Hillel,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 284, 349,10:3, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Tanna Kama,NA,NA,NA,Rabbi Elazar ben Tzadok,אלעזר בן צדוק,אלעזר ברבי צדוק,אלעזר בן רבי צדוק,1,0,0,Rabbi Elazar ben Tzadok,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 285, 350,10:6, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Hillel,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 286, 351,10:6, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Rabbi Tarfon,טרפון,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 287, 352,10:8, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Rabbi Yossi,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 288, 353,10:9, 1,פסחים14,14,מועד,Moed,2,Festival,פסחים,10,, 3,Rabbi Yishmael,ישמעאל,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 289, 354,1:6, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 1,, 4,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,1,1,0,Tanna Kama,BHB 1.0,1,NA, 0, 1,BHB 0.0,0,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
 290, 355,1:7, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 1,, 4,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,1,0,Chachamim,BHB 0.0,0,NA, 1, 0,BHB 1.0,1,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
 291, 356,2:3, 2:5, 2,שקלים15,15,מועד,Moed,2,Festival,שקלים, 2,, 4,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,1,0,Beit Hillel,BHB 0.0,0,NA, 1, 0,BHB 1.0,1,NA, 0, 1,NA,0.0, 0,0.0,NA,1.0, 1,1.0
 292, 357,2:4, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 2,, 4,Rabbi Shimon,שמעון,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Rabbi Shimon,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 293, 358,2:5, 3,שקלים15,15,מועד,Moed,2,Festival,שקלים, 2,, 4,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 293, 359,2:5, 3,שקלים15,15,מועד,Moed,2,Festival,שקלים, 2,, 4,Tanna Kama,NA,NA,NA,Rabbi Natan,נתן,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 1,NA,NA, 1,0.0,NA,NA, 1,0.0
 293, 360,2:5, 3,שקלים15,15,מועד,Moed,2,Festival,שקלים, 2,, 4,Rabbi Meir,מאיר,NA,NA,Rabbi Natan,נתן,NA,NA,1,0,0,Rabbi Meir,Chumra 1.0,0,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 294, 361,3:1, 5,שקלים15,15,מועד,Moed,2,Festival,שקלים, 3,, 4,Rabbi Akiva,עקיבא,עקיבה,NA,Shimon ben Azai,בן עזאי,NA,NA,0,0,0,Rabbi Akiva,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 294, 362,3:1, 5,שקלים15,15,מועד,Moed,2,Festival,שקלים, 3,, 4,Rabbi Akiva,עקיבא,עקיבה,NA,Rabbi Elazar,אלעזר,NA,NA,0,0,0,Rabbi Akiva,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 294, 363,3:1, 5,שקלים15,15,מועד,Moed,2,Festival,שקלים, 3,, 4,Shimon ben Azai,בן עזאי,NA,NA,Rabbi Elazar,אלעזר,NA,NA,0,0,0,Shimon ben Azai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 295, 364,3:2, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 3,, 4,Tanna Kama,NA,NA,NA,Rabbi Yishmael,ישמעאל,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 296, 365,4:1, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 297, 366,4:2, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Tanna Kama,NA,NA,NA,Aba Shaul,אבא שאול,NA,NA,1,1,0,Tanna Kama,BHB 1.0,1,NA, 0, 1,BHB 0.0,0,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
 298, 367,4:3, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Yishmael,ישמעאל,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,1,0,0,Rabbi Akiva,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 299, 368,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Tanna Kama,NA,NA,NA,Rabbi Yishmael,ישמעאל,NA,NA,0,0,0,Tanna Kama,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 299, 369,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Tanna Kama,NA,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Tanna Kama,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 299, 370,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Tanna Kama,NA,NA,NA,Rabbi Chanina Sgan Hacohanim,חנינא סגן הכהנים,NA,NA,0,0,0,Tanna Kama,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 299, 371,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Yishmael,ישמעאל,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Rabbi Yishmael,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 299, 372,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Yishmael,ישמעאל,NA,NA,Rabbi Chanina Sgan Hacohanim,חנינא סגן הכהנים,NA,NA,0,0,0,Rabbi Yishmael,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 299, 373,4:4, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Akiva,עקיבא,עקיבה,NA,Rabbi Chanina Sgan Hacohanim,חנינא סגן הכהנים,NA,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 300, 374,4:6, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Akiva,עקיבא,עקיבה,NA,Shimon ben Azai,בן עזאי,NA,NA,1,0,0,Shimon ben Azai,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 301, 375,4:7, 4,שקלים15,15,מועד,Moed,2,Festival,שקלים, 4,, 4,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Yehoshua,יהושע,יהושוע,NA,0,0,0,Rabbi Eliezer,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 302, 376,5:3, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 5,, 4,Tanna Kama,NA,NA,NA,Shimon ben Azai,בן עזאי,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 303, 377,6:1, 2,שקלים15,15,מועד,Moed,2,Festival,שקלים, 6,, 4,Tanna Kama,NA,NA,NA,Rabbi Gamliel,גמליאל,NA,NA,0,0,0,Tanna Kama,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 304, 378,6:3, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 6,, 4,Tanna Kama,NA,NA,NA,Rabbi Eliezer ben Yakov,אליעזר בן יעקב,NA,NA,0,0,0,Rabbi Eliezer ben Yakov,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 305, 379,6:5, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 6,, 4,Rabbi Yehuda,יהודה,NA,NA,Chachamim,חכמים,NA,NA,0,0,0,Chachamim,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 306, 380,7:4, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 7,, 4,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 307, 381,7:6, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 7,, 4,Rabbi Shimon,שמעון,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,1,0,Rabbi Yehuda,BHB 1.0,0,NA, 0, 1,BHB 0.0,1,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
 308, 382,7:7, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 7,, 4,Rabbi Shimon,שמעון,NA,NA,Rabbi Yossi,NA,NA,NA,1,1,0,Rabbi Yossi,BHB 1.0,0,NA, 0, 1,BHB 0.0,1,NA, 1, 0,NA,1.0, 1,1.0,NA,0.0, 0,0.0
 309, 383,8:1, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Rabbi Meir,מאיר,NA,NA,Rabbi Yossi,NA,NA,NA,0,0,0,Rabbi Yossi,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 310, 384,8:2, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Rabbi Meir,מאיר,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Rabbi Yossi,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 311, 385,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,0,0,0,Beit Shamai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 311, 386,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Beit Shamai,בית שמאי,NA,NA,Rabbi Eliezer,אליעזר,NA,NA,0,0,0,Beit Shamai,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 311, 387,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Beit Shamai,בית שמאי,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 311, 388,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Beit Hillel,בית הלל,בית הילל,NA,Rabbi Eliezer,אליעזר,NA,NA,0,0,0,Beit Hillel,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 311, 389,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Beit Hillel,בית הלל,בית הילל,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 311, 390,8:6-7, 6,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 312, 391,8:8, 1,שקלים15,15,מועד,Moed,2,Festival,שקלים, 8,, 4,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Rabbi Shimon,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 313, 392,1:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 1,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 314, 393,1:6, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 1,, 5,Tanna Kama,NA,NA,NA,Zicharia ben Kvutar,NA,NA,NA,0,0,0,Zicharia ben Kvutar,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 315, 394,2:3, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 2,, 5,Tanna Kama,NA,NA,NA,Shimon ben Azai,בן עזאי,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 316, 395,3:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 3,, 5,Tanna Kama,NA,NA,NA,Matya ben Shmuel,מתתיא בן שמואל,מתיא בן שמואל,NA,0,0,0,Matya ben Shmuel,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 317, 396,3:6, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 3,, 5,Tanna Kama,NA,NA,NA,Rabbi Meir,מאיר,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 318, 397,3:7, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 3,, 5,Rabbi Meir,מאיר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Kula 0.0,0,NA,NA, 0,Chumra 1.0,1,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 319, 398,4:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Tanna Kama,NA,NA,NA,Rabbi Yishmael,ישמעאל,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 320, 399,4:4, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 321, 400,4:5, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 322, 401,4:5, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 323, 402,4:6, 3,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Rabbi Meir,מאיר,NA,NA,Rabbi Yossi,NA,NA,NA,0,0,0,Rabbi Yossi,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 323, 403,4:6, 3,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Rabbi Meir,מאיר,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Rabbi Meir,,0,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 323, 404,4:6, 3,יומא16,16,מועד,Moed,2,Festival,יומא, 4,, 5,Rabbi Yossi,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Rabbi Yossi,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 324, 405,5:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 5,, 5,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 325, 406,5:4, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 5,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 326, 407,5:5, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 5,, 5,Tanna Kama,NA,NA,NA,Rabbi Eliezer,אליעזר,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 327, 408,5:7, 2,יומא16,16,מועד,Moed,2,Festival,יומא, 5,, 5,Tanna Kama,NA,NA,NA,Rabbi Elazer,NA,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 328, 409,6:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 6,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 329, 410,6:3, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 6,, 5,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 330, 411,6:6, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 6,, 5,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 331, 412,6:7, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 6,, 5,Tanna Kama,NA,NA,NA,Rabbi Shimon,שמעון,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 332, 413,6:8, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 6,, 5,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,0,0,0,Tanna Kama,,1,NA,NA,NA,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 333, 414,7:3, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 7,, 5,Rabbi Eliezer,אליעזר,NA,NA,Rabbi Akiva,עקיבא,עקיבה,NA,0,0,0,Rabbi Akiva,,0,NA,NA,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 334, 415,8:1, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 8,, 5,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Rabbi Eliezer,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 335, 416,8:6, 1,יומא16,16,מועד,Moed,2,Festival,יומא, 8,, 5,Tanna Kama,NA,NA,NA,Rabbi Matya ben Charash,NA,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 336, 417,1:1, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 337, 418,1:1, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Hillel,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 338, 419,1:2, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 339, 420,1:6, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Rabbi Yehuda,יהודה,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Rabbi Yehuda,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 340, 421,1:7, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Rabbi Yehuda,יהודה,NA,NA,Rabbi Meir,מאיר,NA,NA,1,0,0,Rabbi Yehuda,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 341, 422,1:9, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Tanna Kama,NA,NA,NA,Rabbi Yossi,NA,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 342, 423,1:11, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Rabbi Eliezer,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 343, 424,1:11, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 1,, 6,Tanna Kama,NA,NA,NA,Rabbi Eliezer,אליעזר,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 344, 425,2:1, 2,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 345, 426,2:2, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Tanna Kama,NA,NA,NA,Rabbi Yehuda,יהודה,NA,NA,1,0,0,Tanna Kama,Kula 0.0,1,NA,NA, 0,Chumra 1.0,0,NA,NA, 1,NA,NA, 0,0.0,NA,NA, 1,1.0
 346, 427,2:5, 2,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Rabbi Yochanan ben Zakai,יוחנן בן זכאי,NA,NA,Rabbi Tzadok,צדוק,NA,NA,1,0,0,Rabbi Yochanan ben Zakai,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 347, 428,2:6, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 348, 429,2:6, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Rabbi Eliezer,אליעזר,NA,NA,Chachamim,חכמים,NA,NA,1,0,0,Chachamim,Chumra 1.0,0,NA,NA, 1,Kula 0.0,1,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
 349, 430,2:7, 1,סוכה17,17,מועד,Moed,2,Festival,סוכה, 2,, 6,Beit Shamai,בית שמאי,NA,NA,Beit Hillel,בית הלל,בית הילל,NA,1,0,0,Beit Shamai,Chumra 1.0,1,NA,NA, 1,Kula 0.0,0,NA,NA, 0,NA,NA, 1,1.0,NA,NA, 0,0.0
